Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
7,0 3,0 0,200,10,r 403422c8  [0x403422C8] = 0x00FFD780    ,3.44,10.81,,,
7,0 3,0 0,200,11,r 403422c8  [0x403422C8] = 0x00FFD872    ,2.83,11.51,,,
7,0 3,0 0,200,12,r 403422c8  [0x403422C8] = 0x00FFD880    ,4.42,12.51,,,
7,0 3,0 0,200,13,r 403422c8  [0x403422C8] = 0x00FFD972    ,4,13.81,,,
7,0 3,0 0,200,14,r 403422c8  [0x403422C8] = 0x00FFD980    ,4.01,14.8,,,
7,0 3,0 0,200,15,r 403422c8  [0x403422C8] = 0x00FFDA72    ,3.22,16.18,,,
7,0 3,0 0,200,16,r 403422c8  [0x403422C8] = 0x00FFDA80    ,3.77,17.17,,,
7,0 3,0 0,200,17,r 403422c8  [0x403422C8] = 0x00FFDB72    ,4.06,17.99,,,
7,0 3,0 0,200,18,r 403422c8  [0x403422C8] = 0x00FFDB80    ,4.32,18.97,,,
7,0 3,0 0,200,19,r 403422c8  [0x403422C8] = 0x00FFDC72    ,4.62,20.45,,,
7,0 3,0 0,200,20,r 403422c8  [0x403422C8] = 0x00FFDC80    ,6.3,21.29,,,
7,0 3,0 0,200,21,r 403422c8  [0x403422C8] = 0x00FFDD72    ,6.33,22.6,,,
7,0 3,0 0,200,22,r 403422c8  [0x403422C8] = 0x00FFDD80    ,7.42,23.23,,,
7,0 3,0 0,200,23,r 403422c8  [0x403422C8] = 0x00FFDE72    ,10.71,25.51,,DA0,24.1
7,0 3,0 0,200,24,r 403422c8  [0x403422C8] = 0x00FFDE80    ,11.9,25.68,,E60,25.1
7,0 3,0 0,200,25,r 403422c8  [0x403422C8] = 0x00FFDF72    ,11.83,26.21,,F80,26.1
7,0 3,0 0,200,26,r 403422c8  [0x403422C8] = 0x00FFDF80    ,12.61,26.31,,FD0,26.3
7,0 3,0 0,200,27,r 403422c8  [0x403422C8] = 0x00FFDF80    ,12.4,26.31,,,
7,0 3,0 0,200,28,r 403422c8  [0x403422C8] = 0x00FFDF80    ,12.55,26.3,,,
7,0 3,0 0,200,29,r 403422c8  [0x403422C8] = 0x00FFDF80    ,12.32,26.31,,,
7,0 3,0 0,200,30,r 403422c8  [0x403422C8] = 0x00FFDF80    ,12.49,26.32,,,
7,0 3,0 0,200,31,r 403422c8  [0x403422C8] = 0x00FFDF80    ,12.61,26.32,,,
7,2 0,0 0,200,10,r 403422c8  [0x403422C8] = 0x08FFC95D    ,10.26,-30.59,,,
7,2 0,0 0,200,11,r 403422c8  [0x403422C8] = 0x08FFC968    ,11.29,-30.02,,,
7,2 0,0 0,200,12,r 403422c8  [0x403422C8] = 0x08FFC975    ,12.41,-29.66,,,
7,2 0,0 0,200,13,r 403422c8  [0x403422C8] = 0x08FFC983    ,13.37,-29.49,,,
7,2 0,0 0,200,14,r 403422c8  [0x403422C8] = 0x08FFCA75    ,14.4,-29.61,,,
7,2 0,0 0,200,15,r 403422c8  [0x403422C8] = 0x08FFCA83    ,15.44,-29.75,,,
7,2 0,0 0,200,16,r 403422c8  [0x403422C8] = 0x10FFCB72    ,16.54,-30.58,,,
7,2 0,0 0,200,17,r 403422c8  [0x403422C8] = 0x10FFCB80    ,17.49,-28.05,,,
7,2 0,0 0,200,18,r 403422c8  [0x403422C8] = 0x10FFCB90    ,18.42,-25.55,,,
7,2 0,0 0,200,19,r 403422c8  [0x403422C8] = 0x10DF8C77    ,19.22,-21.48,,,
7,2 0,0 0,200,20,r 403422c8  [0x403422C8] = 0x10D98C86    ,20.01,-18.93,,,
7,2 0,0 0,200,21,r 403422c8  [0x403422C8] = 0x18FFCD72    ,21.15,-17.8,,,
7,2 0,0 0,200,22,r 403422c8  [0x403422C8] = 0x18FFCD80    ,21.8,-16.82,,,
7,2 0,0 0,200,23,r 403422c8  [0x403422C8] = 0x18FFCD8F    ,22.37,-15.94,,,
7,2 0,0 0,200,24,r 403422c8  [0x403422C8] = 0x18FFCE7C    ,23.38,-14.01,,,
7,2 0,0 0,200,25,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.82,-13.44,,,
7,2 0,0 0,200,26,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.83,-13.46,,,
7,2 0,0 0,200,27,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.82,-13.48,,,
7,2 0,0 0,200,28,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.82,-13.48,,,
7,2 0,0 0,200,29,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.82,-13.44,,,
7,2 0,0 0,200,30,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.82,-13.48,,,
7,2 0,0 0,200,31,r 403422c8  [0x403422C8] = 0x18FFCE8B    ,23.84,-13.57,,,
